# 香港用語自訂詞彙表
# 格式: 简体词汇<TAB>香港繁体词汇
# 說明: 左列為簡體（大陸用語），右列為香港繁體（港式用語）

# === 日常用语差异 ===
出租车	的士
显示器分辨率	螢幕解像度
屏幕刷新率	螢幕刷新率
屏幕录制	螢幕錄影
屏幕截图	螢幕截圖
屏幕共享	螢幕分享
网络连接失败	網絡連線失敗
网络连接超时	網絡連線逾時
网络连接中断	網絡連線中斷
网络速度测试	網絡速度測試
网络代理设置	網絡代理設定
无线网络	無線網絡
有线网络	有線網絡
局域网络	區域網絡
虚拟专用网络	虛擬私人網絡
服务器地址	伺服器地址
服务器端口	伺服器埠
服务器机房	伺服器機房
服务器负载	伺服器負載
服务器宕机	伺服器死機
数据库连接	資料庫連線
数据库迁移	資料庫遷移
数据库备份	資料庫備份
数据库恢复	資料庫還原
数据统计报表	數據統計報表
数据可视化	數據視覺化
数据分析平台	數據分析平台
数据清洗任务	數據清洗任務
数据同步服务	數據同步服務
数据导入导出	數據匯入匯出
接口文档	API文件
接口测试	API測試
接口调用	API呼叫
接口限流	API限流
请求超时	請求逾時
请求失败	請求失敗
返回结果	回傳結果
错误日志	錯誤日誌
日志级别	日誌級別
调试模式	除錯模式
发布版本	發佈版本
预发布环境	預發佈環境
生产环境	生產環境
本地环境	本機環境
线上环境	線上環境
上线流程	上線流程
回滚版本	回滾版本
热修复	熱修復
补丁包	修補檔
安装包	安裝檔
安装目录	安裝目錄
卸载程序	移除程式
卸载软件	移除軟件
重装系统	重裝系統
系统崩溃	系統當機
系统蓝屏	系統藍屏
系统还原	系統還原
系统重启	系統重新啟動
系统更新	系統更新
系统补丁	系統修補
登录页面	登入頁面
登录失败	登入失敗
登录成功	登入成功
注册页面	註冊頁面
注册账号	註冊帳號
账号异常	帳號異常
账号封禁	帳號封鎖
账户余额	帳戶結餘
账户安全	帳戶安全
密码重置	密碼重設
密码找回	密碼找回
双重验证	雙重驗證
验证码	驗證碼
短信验证码	短訊驗證碼
邮箱验证码	電郵驗證碼
博客平台	網誌平台
博客文章	網誌文章
短视频	短片
长视频	長片
视频剪辑	影片剪輯
视频字幕	影片字幕
视频封面	影片封面
视频上传	影片上傳
视频下载	影片下載
视频转码	影片轉碼
视频播放	影片播放
音频文件	音訊檔案
音频输出	音訊輸出
语音消息	語音訊息
语音通话	語音通話
远程会议	遙距會議
在线会议	線上會議
在线文档	線上文件
离线文档	離線文件
文件管理器	檔案管理員
文件夹权限	資料夾權限
回收站清空	資源回收桶清空
桌面图标	桌面圖示
系统字体	系統字型
云盘空间	雲端硬碟空間
云存储服务	雲端儲存服務
云服务器	雲端伺服器
云数据库	雲端資料庫
机器学习模型	機器學習模型
深度学习模型	深度學習模型
大语言模型	大型語言模型
训练数据集	訓練數據集
模型微调	模型微調
前端页面	前端頁面
后端服务	後端服務
全栈工程师	全端工程師
程序员	程式員
开发者	開發者
源代码	原始碼
代码仓库	程式碼倉庫
提交记录	提交紀錄
合并请求	合併請求
代码审查	程式碼審查
自动化部署	自動化部署
持续集成	持續整合
持续交付	持續交付
构建流水线	建置流程線
单元测试	單元測試
集成测试	整合測試
端到端测试	端對端測試
测试用例	測試案例
压力测试	壓力測試
性能测试	效能測試
监控告警	監控告警
消息队列	訊息佇列
缓存服务	快取服務
负载均衡	負載平衡
容器编排	容器編排
镜像仓库	映像倉庫
命令行工具	指令列工具
终端窗口	終端視窗
开发文档	開發文件
用户手册	使用者手冊
操作指南	操作指引

# === 社交/网络流行语（大陆→港式） ===
卧槽	屌
牛逼	好勁
给力	勁
傻逼	傻閪
厉害	犀利
尼玛	你老母
打工人	打工仔
摸鱼	蛇王
摆烂	hea
内卷	內捲
躺平	躺平化
社死	社死現場
这也太牛逼了	呢個真係好勁
这个人真牛逼	呢條友好勁
今天状态给力	今日狀態好掂
这波操作给力	呢波操作好掂
你太厉害了	你好犀利
真的太厉害了	真係好犀利
卧槽这也行	屌咁都得
卧槽无情	屌你老味咁狠
卧槽太猛了	屌真係好勁
我去太离谱	嘩太離譜
我去好尴尬	嘩好尷尬
我靠你认真的	屌你認真㗎
我靠太秀了	屌太勁喇
牛逼坏了	勁到癲
牛逼炸了	勁到爆
给力到飞起	勁到飛起
给力爆了	勁爆
666	好犀利
6666	堅勁
太6了	太勁喇
这把666	呢鋪好勁
你简直666	你簡直勁到癲
真的绝了	真係絕咗
笑死我了	笑死我
笑不活了	笑到仆街
离谱到家	離譜到爆
离大谱	離晒譜
无语住了	無言以對
我直接无语	我直頭無語
真下头	真係好核突
太下头了	太核突喇
上头了	上頭喇
太上头了	太上頭喇
破防了	破防喇
彻底破防	完全破防
社死现场	社死現場
当场社死	當場社死
内卷太严重	內捲太勁
别再内卷了	唔好再內捲
躺平算了	躺平算喇
直接摆烂	直接hea做
开始摆烂	開始hea
摆烂到底	hea到底
今天摸鱼	今日蛇王
上班摸鱼	返工蛇王
偷偷摸鱼	偷偷蛇王
这人好装逼	呢條友好扮嘢
别装了	唔好扮嘢喇
装什么装	扮乜嘢
太装了	太扮嘢喇
你真会整活	你真係識玩
整活高手	玩嘢高手
太会玩了	太識玩喇
搞事情	搞事
别搞事情	唔好搞事
吃瓜群众	花生友
在线吃瓜	在線食花生
围观吃瓜	圍觀食花生
又来吃瓜	又食花生
打脸现场	打臉現場
啪啪打脸	啪啪打臉
翻车现场	翻車現場
又翻车了	又翻車
塌房了	塌房喇
人设塌了	人設塌咗
爆雷了	爆雷喇
踩雷了	踩雷喇
安利一下	推介一下
疯狂安利	瘋狂推介
成功种草	成功被種草
一秒种草	即刻被種草
拔草了	拔草喇
这也太卷	呢個太捲
卷王来了	捲王嚟喇
emo了	emo咗
我emo了	我emo咗
今天很emo	今日好emo
不要emo	唔好emo喇
别PUA我	唔好PUA我
被PUA了	俾人PUA咗
CPU我了	玩我心理戰
这谁顶得住	邊個頂得順
太虐了	太虐心喇
太甜了	甜到漏
嗑CP	磕CP
磕到了	磕到喇
这对CP好磕	呢對CP好磕
我磕疯了	我磕到癲
站CP	企CP
BE了	BE咗
HE了	HE咗
刀死我了	刀到我喊
我哭死	我喊死
泪目了	眼濕濕
蚌埠住了	頂唔順喇
绷不住了	忍唔住喇
太搞笑了	笑到癲
我裂开了	我裂開咗
麻了	麻木晒
我麻了	我麻咗
我酸了	我酸咗
柠檬精	檸檬精
舔狗	狗公
渣男	仆街男
渣女	仆街女
绿茶	綠茶婊
白莲花	白蓮花
心机婊	心機女
钢铁直男	鋼鐵直男
小姐姐	靚女
小哥哥	靚仔
老铁	老友
兄弟们	兄弟們
姐妹们	姊妹們
闺蜜	閨蜜
冲鸭	衝鴨
冲冲冲	衝衝衝
奥利给	頂住
安排上	安排好
整起来	搞起佢
搞快点	搞快啲
懂得都懂	識嘅都識
懂我意思吧	明我意思啦
有内味了	有嗰味喇
爷青回	爺青回
爷青结	爺青結
DNA动了	DNA郁咗
狠狠共鸣了	勁有共鳴
破大防了	破大防喇
小丑竟是我	小丑原來係我
你礼貌吗	你有禮貌咩
拴Q	多謝晒
太可了	太可以喇
绝绝子	絕絕子
YYDS	永遠嘅神
永远的神	永遠嘅神
拿捏了	攞捏住
这波稳了	呢鋪穩陣
太顶了	太頂喇
顶不住了	頂唔住喇

# === 粗口/口头禅（大陆→港式） ===
我靠	屌
我操	屌
我草	屌
妈的	屌你
他妈的	佢老母
脑残	腦殘
滚	收皮
闭嘴	收聲
去你的	去你嘅
我靠真离谱	屌真係離譜
我靠太夸张	屌太誇張
我靠你有病	屌你有病
我操这都行	屌咁都得
我操你大爷	屌你老母
我草真烦	屌真係煩
卧槽你妹	屌你妹
卧槽尼玛	屌你老母
尼玛别吵	你老母咪嘈
尼玛有完没完	你老母有完沒完
妈的烦死了	媽的煩死
他妈的别装	佢老母咪扮嘢
去你的吧	去你嘅
滚远点	收皮啦
滚开点	躝開啦
给我滚	同我收皮
闭嘴吧	收聲啦
你给我闭嘴	你同我收聲
别吵了	咪嘈喇
少废话	少廢噏
废话真多	廢噏真多
神经病啊	痴線㗎
你有病吧	你有病㗎
有病去看医生	有病去睇醫生
脑残玩意	腦殘嘢
弱智东西	弱智嘢
傻逼玩意	傻閪嘢
傻逼一个	傻閪一個
你真傻逼	你真係傻閪
真是傻逼	真係傻閪
沙雕一个	戇鳩一個
沙雕行为	戇鳩行為
煞笔东西	傻閪嘢
装逼犯	扮嘢精
装你妈	扮你老母
别装逼	唔好扮嘢
死变态	死變態
死三八	死八婆
八婆别吵	八婆咪嘈
扑街啦你	仆街啦你
扑街冚家铲	仆街冚家剷
痴线佬	痴線佬
痴线婆	痴線婆
死开	躝開
闪一边去	行開啲
别碍眼	咪阻住晒
滚蛋吧	躝啦你
滚你妈	躝啦你老母
你妈的	你老母
他妈的	佢老母
去死吧你	你去死啦
收声啦你	收聲啦你
烦撚死	煩撚死
衰人一个	衰人一個
衰到贴地	衰到貼地
废柴一个	廢柴一個
垃圾一个	垃圾一件
垃圾东西	垃圾嘢
烂人一个	爛人一個
扑街东西	仆街嘢
咸湿佬	鹹濕佬
咸湿婆	鹹濕婆
痴线西	痴線西
黐线	黐線
收档啦	收檔啦
顶你个肺	頂你個肺
妖你个头	妖你個頭
仆你个街	仆你個街
痴撚线	痴撚線
癫佬	癲佬
癫婆	癲婆
发神经	發神經
乱噏	亂噏
讲咩春	講咩春
唔该收皮	唔該收皮
唔该收声	唔該收聲
嘥气	嘥氣
火滚	火滾
吊你老味	屌你老味
屌那妈	屌你老母
丢你老母	屌你老母

# === 交通/地名/生活 ===
公交	巴士
轻轨	輕鐵
超市	超級市場
便利店	士多
商场	商業中心
物业	物業管理
小区	屋苑
一居室	一房
公交车换乘站	巴士轉乘站
公交枢纽站	巴士總站
公交专用道	巴士專線
公交候车亭	巴士候車亭
夜班公交车	通宵巴士
首班公交车	頭班巴士
末班公交车	尾班巴士
上公交车	上巴士
下公交车	落巴士
公交站牌	巴士站牌
公交月票	巴士月票
公交线路图	巴士路線圖
轻轨站	輕鐵站
坐轻轨	搭輕鐵
轻轨车厢	輕鐵車廂
轻轨线路	輕鐵路線
出租车候客区	的士候客區
出租车排队点	的士排隊點
网约车	網約的士
打车软件	叫車App
拼车	拼車
顺风车	順風車
高速公路收费站	高速公路收費站
服务区	服務區
行人天桥	行人天橋
人行横道	行人過路處
红绿灯	交通燈
斑马线	斑馬線
机动车道	行車線
非机动车道	單車徑
停车场	停車場
地下停车场	地庫停車場
路边停车	路邊泊車
停车位	車位
倒车入库	倒車入位
超市购物车	超市購物車
大型商场	大型商場
购物商场	購物商場
社区超市	社區超市
连锁便利店	連鎖便利店
24小时便利店	二十四小時便利店
物业管理	物業管理
物业费	管理費
物业公司	物業公司
小区物业	屋苑管理處
小区门口	屋苑門口
小区停车位	屋苑車位
高档小区	高尚屋苑
老旧小区	舊式屋苑
新建小区	新建屋苑
一居室公寓	一房單位
两居室公寓	兩房單位
三居室公寓	三房單位
精装一居室	精裝一房
拎包入住	可即住
看房	睇樓
租房	租樓
合租	夾租
整租	全租
押一付三	按金一個月付三個月
房东	業主
中介	地產代理
签租约	簽租約
交房租	交租
水电费	水電煤
燃气费	煤氣費
居住证	居住證
暂住证	暫住證
户口本	戶口簿
身份证	身份證
社区医院	社區診所
社区服务中心	社區服務中心
街道办	民政事務處
派出所	警署
社区警务室	社區警崗
菜市场	街市
农贸市场	濕街市
生鲜超市	鮮活超市
批发市场	批發市場
小吃街	小食街
郊区	市郊
城中村	舊區村屋
老城区	舊城區
新区	新區

# === 程度副词/语气 ===
特别	好
超级	超級
巨	勁
贼	好
贼好看	好靚
贼好吃	好好食
特别好	好好
特别喜欢	好鍾意
特别想去	好想去
特别想吃	好想食
特别想买	好想買
特别难受	好辛苦
特别尴尬	好尷尬
特别离谱	好離譜
特别开心	好開心
特别生气	好嬲
特别烦	好煩
特别累	好攰
特别冷	好凍
特别热	好熱
超级厉害	超級犀利
超级可爱	超級可愛
超级好吃	超級好食
超级好看	超級靚
超级便宜	超級平
超级贵	超級貴
超级稳	超穩
超级顶	超頂
超级烦	超煩
超级尴尬	超尷尬
巨好看	好靚
巨好吃	好好食
巨离谱	好離譜
巨尴尬	好尷尬
巨好笑	好好笑
巨难受	好辛苦
巨无语	好無語
巨想睡	好想瞓
巨想吃	好想食
巨想买	好想買
贼好看	好靚
贼好吃	好好食
贼可爱	好可愛
贼离谱	好離譜
贼尴尬	好尷尬
贼开心	好開心
贼烦	好煩
贼难受	好辛苦
太牛了	太勁
太猛了	太犀利
太好笑了	笑死
太难了	太難搞
太夸张了	太誇張
太绝了	太絕
真的很顶	真係好頂
真的超好	真係超好
有点厉害	幾犀利
有点尴尬	有啲尷尬
有点离谱	有啲離譜
有点夸张	有啲誇張
非常不错	非常唔錯
非常可以	非常得
非常稳妥	非常穩陣

# === 人称/称呼 ===
美女	靚女
帅哥	靚仔
小姐姐	靚女仔
哥们	老友
姐们	姊妹
老铁	老友
兄弟	手足
漂亮小姐姐	靚女
邻家小姐姐	隔離靚女
前台小姐姐	前台靚女
直播间小姐姐	直播靚女
漂亮小哥哥	靚仔
健身小哥哥	健身靚仔
前台小哥哥	前台靚仔
外卖小哥哥	外賣靚仔
美女同事	靚女同事
美女店员	靚女店員
美女姐姐	靚女姐姐
帅哥同事	靚仔同事
帅哥店员	靚仔店員
帅哥司机	靚仔司機
哥们几个	兄弟幾個
哥们儿	老友
好哥们	好老友
铁哥们	死黨兄弟
姐们儿	姊妹
姐们几个	姊妹幾個
好姐们	好姊妹
老铁们	老友們
老铁你好	老友你好
兄弟你好	兄弟你好喂
兄弟们冲	兄弟們上
闺蜜姐妹	閨蜜姊妹
闺蜜团	閨蜜團
死党	死黨
兄弟档	兄弟檔
宝贝	寶貝
亲爱的	親愛的
大哥	大佬
大姐	大姐大
老板	老闆
老板娘	老闆娘
师傅	師傅
同学	同學仔
同事	同事仔
朋友	老友記
网友	網友仔

# === 食物（港式特有） ===
盖饭	碟頭飯
早餐	早晨餐
宵夜	消夜
烧烤	BBQ
火锅	打邊爐
炒饭	炒飯底
奶茶	港式奶茶
咖啡	啡
盖浇饭套餐	碟頭飯套餐
牛腩盖饭	牛腩碟頭飯
叉烧盖饭	叉燒碟頭飯
鸡排盖饭	雞扒碟頭飯
咖喱鸡盖饭	咖喱雞碟頭飯
番茄牛肉盖饭	番茄牛肉碟頭飯
宵夜摊	宵夜檔
吃宵夜	食消夜
深夜宵夜	深夜消夜
烧烤摊	燒烤檔
吃烧烤	食BBQ
户外烧烤	戶外BBQ
周末烧烤	週末BBQ
火锅聚会	打邊爐聚會
今晚吃火锅	今晚打邊爐
鸳鸯火锅	鴛鴦邊爐
麻辣火锅	麻辣邊爐
清汤火锅	清湯邊爐
牛肉火锅	牛肉邊爐
海鲜火锅	海鮮邊爐
炒饭加蛋	蛋炒飯
扬州炒饭	揚州炒飯
叉烧炒饭	叉燒炒飯
虾仁炒饭	蝦仁炒飯
菠萝炒饭	菠蘿炒飯
奶茶少糖	奶茶少甜
奶茶去冰	奶茶走冰
奶茶热饮	熱奶茶
冻奶茶	凍奶茶
丝袜奶茶	絲襪奶茶
鸳鸯奶茶	鴛鴦
咖啡少糖	咖啡少甜
热咖啡	熱咖啡
冻咖啡	凍咖啡
冰咖啡	凍咖啡
拿铁咖啡	鮮奶咖啡
卡布奇诺	泡沫咖啡
三明治	三文治
蔬菜沙拉	蔬菜沙律
水果沙拉	水果沙律
鸡蛋沙拉	雞蛋沙律
土豆沙拉	薯仔沙律
金枪鱼沙拉	吞拿魚沙律
鸡肉沙拉	雞肉沙律
牛肉面	牛肉麵
鸡蛋面	雞蛋麵
汤面	湯麵
拌面	撈麵
炒面	炒麵
泡面	公仔麵
米线	米線
肠粉	腸粉
云吞面	雲吞麵
车仔面	車仔麵
鱼蛋粉	魚蛋粉
牛杂	牛雜
猪红	豬紅
萝卜牛杂	蘿蔔牛雜
鱼蛋串	魚蛋串
烧卖	燒賣
咖喱鱼蛋	咖喱魚蛋
钵仔糕	缽仔糕
鸡蛋仔	雞蛋仔
菠萝油	菠蘿油
蛋挞	蛋撻
叉烧包	叉燒包
奶黄包	奶皇包
凤爪	鳳爪
虾饺	蝦餃
烧鹅	燒鵝
烧味拼盘	燒味拼盤
卤味	滷味
甜品	糖水
红豆沙	紅豆沙
绿豆沙	綠豆沙
杨枝甘露	楊枝甘露
双皮奶	雙皮奶
凉茶	涼茶
龟苓膏	龜苓膏
冬瓜茶	冬瓜茶飲
酸奶	乳酪
奶酪	芝士
土豆	薯仔
西红柿	番茄
菠萝	菠蘿
猕猴桃	奇異果
方便面	公仔麵
色拉	沙律
沙拉	沙律
鲜榨果汁	鮮榨果汁

# === 动物 ===
考拉	樹熊
熊猫	熊貓
三文鱼	三文魚
澳洲考拉	澳洲樹熊
野生考拉	野生樹熊
熊猫宝宝	熊貓BB
大熊猫	大熊貓
小熊猫	小熊貓
三文鱼刺身	三文魚刺身
三文鱼寿司	三文魚壽司
三文鱼腩	三文魚腩
鸸鹋	鴯鶓
针鼹	針鼴
鸭嘴兽	鴨嘴獸
海豚	海豚仔
海豹	海豹仔
企鹅	企鵝仔
猫头鹰	貓頭鷹
仓鼠	倉鼠仔
龙猫	絨鼠
蜥蜴	四腳蛇
壁虎	守宮
蟑螂	曱甴
老鼠	老鼠仔
乌龟	烏龜
鳄鱼	鱷魚
鲨鱼	鯊魚
金枪鱼	吞拿魚
章鱼	八爪魚
鱿鱼	魷魚
小龙虾	小龍蝦
龙虾	龍蝦
海星	海星仔
海胆	海膽

# === 职业/学校 ===
幼儿园	幼稚園
小学	小學
初中	初級中學
高中	中學高年級
大学	大學院校
国际幼儿园	國際幼稚園
双语幼儿园	雙語幼稚園
公立幼儿园	官立幼稚園
私立幼儿园	私立幼稚園
幼儿园老师	幼稚園老師
小学一年级	小學一年級
小学六年级	小學六年級
小学教师	小學老師
小学班主任	小學班主任
初中一年级	初中一年級
初中三年级	初中三年級
初中老师	初中老師
高中一年级	高中一年級
高中三年级	高中三年級
中学老师	中學老師
中学班主任	中學班主任
大学本科	大學本科
大学专科	大學副學士
大学老师	大學講師
大学教授	大學教授
大学生	大學生
留学生	留學生
校长	校長
副校长	副校長
教务处	教務處
学生处	學生事務處
宿舍	學生宿舍
食堂	學生飯堂
班长	班長
学习委员	學習委員
语文老师	中文老師
数学老师	數學老師
英语老师	英文老師
体育老师	體育老師
美术老师	視藝老師
音乐老师	音樂老師
幼师	幼稚園教師
辅导员	導師
实习老师	實習老師
保安	保安員
服务员	侍應
前台	接待員
收银员	收銀員
司机	司機
快递员	速遞員
外卖员	外賣員
程序员	程式員
产品经理	產品經理
运营专员	營運專員
销售经理	銷售經理
客服专员	客戶服務專員
平面设计师	平面設計師
室内设计师	室內設計師
建筑设计师	建築設計師
会计	會計師
出纳	出納員
律师	律師
法务	法務
医生	醫生
护士	護士
药剂师	藥劑師
营养师	營養師
厨师	廚師
面点师	點心師傅
理发师	髮型師
化妆师	化妝師
摄影师	攝影師
剪辑师	剪接師
主播	直播主
自媒体博主	網誌主
博主	網誌作者
网红	KOL
实习生	見習生
兼职	兼職
全职	全職
打工人	打工仔
打工妹	打工妹仔

# === 医疗/身体（补充） ===
综合性医院	綜合醫院
社区卫生服务中心	社區健康中心
门诊挂号	門診掛號
专家门诊	專科門診
普通门诊	普通科門診
急诊科	急症室
出院手续	出院手續
医保卡	醫療卡
体检中心	身體檢查中心
核酸检测	核酸檢測
抽血检查	抽血檢查
验血报告	驗血報告
化验单	化驗單
B超	超聲波檢查
CT检查	電腦掃描
核磁共振	磁力共振
拍片	照X光
处方药	處方藥
非处方药	非處方藥
退烧药	退燒藥
感冒药	傷風藥
止痛药	止痛藥
止咳药	止咳藥
消炎药	消炎藥
过敏药	敏感藥
创可贴	膠布
绷带	繃帶
纱布	紗布
碘伏	碘酒
医用手套	醫用手套
发烧	發燒
低烧	低燒
高烧	高燒
咳嗽	咳
喉咙痛	喉嚨痛
流鼻涕	流鼻水
头疼	頭痛
胃疼	胃痛
肚子疼	肚痛
拉肚子	肚瀉
焦虑	焦慮
抑郁	抑鬱
康复训练	復康訓練
复诊	覆診
转诊	轉介
挂水	吊鹽水
打点滴	吊針
住院观察	留院觀察
病假条	病假紙
病历本	病歷簿
体温计	探熱針
血压计	血壓計
血糖仪	血糖機
轮椅	輪椅
拐杖	柺杖
复健	復健
补牙	補牙
拔牙	剝牙
牙套	牙箍
牙龈出血	牙肉出血

# === 金融/消费（补充） ===
银行卡绑定	銀行卡綁定
银行卡解绑	銀行卡解除綁定
信用卡还款	信用卡還款
信用卡额度	信用卡額度
借记卡	提款卡
储蓄卡	儲蓄卡
转账汇款	轉賬匯款
跨行转账	跨行轉賬
到账通知	到賬通知
支付密码	支付密碼
支付失败	支付失敗
扫码支付	掃碼支付
二维码收款	二維碼收款
无接触支付	非接觸式支付
电子钱包	電子錢包
钱包余额	錢包餘額
免费提现	免手續費提款
账单明细	賬單明細
消费记录	消費紀錄
退款申请	退款申請
退款到账	退款到賬
售后服务	售後服務
七天无理由退货	七天無理由退貨
运费险	運費保
优惠券	優惠券
满减优惠	滿減優惠
限时折扣	限時折扣
秒杀活动	限時搶購
拼团购买	拼團購買
花呗分期	分期簽賬
货到付款	貨到付款
发票抬头	發票抬頭
电子发票	電子發票
纸质发票	紙本發票
税率	稅率
增值税	增值稅
个税	薪俸稅
社保	社會保險
公积金	強積金
工资到账	出糧到賬
发工资	出糧
绩效奖金	表現獎金
年终奖	年尾花紅
加班费	加班費
报销单	報銷單
差旅费	差旅費
预算申请	預算申請
财务报表	財務報表
利润率	利潤率
营业额	營業額
现金流	現金流
理财产品	理財產品
股票账户	股票戶口
债券基金	債券基金
汇率	匯率
外汇	外匯
保险单	保單
车险	車保
医疗险	醫療保險
重疾险	危疾保險
寿险	人壽保險
理赔申请	索償申請
免赔额	自負額
贷款申请	貸款申請
房贷	樓按
车贷	車貸
提前还款	提早還款
逾期还款	逾期還款
征信报告	信貸報告
担保人	擔保人
手续费	手續費
账期	賬期
对账单	對賬單
开票	開發票
收据	收據
押金	按金
订金	訂金
